abertura_id,modelo,problema,tipo_equipamento,codigo_solicitado,cod_solic_desc,rn
7787011,59852,"SINTOMA: FALHA ESTABILIZADOR

HORARIO ATENDIMENTO: COMERCIAL

RESPONSAVEL: MARCOS CANDELARIA",DESKTOP,000000000011073142,ESTAB 500VA/500W EXS II 500B PR ENERMAX,1
10234175,60595,"S: REINICIANDO 
RESPONSAVEL: THYAGO AMORIM 
HORARIO DE ATENDIMENTO :  8 AS 12 - 13 AS 17H- SEG A SEX ",DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,1
9854033,67546,MOTIVO: EQUIPAMENTO NAO LIGA. ,DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,2
9825095,67546,"EM VISITA A SETOR FOI VERIFICADO QUE O COMPUTADOR ESTA REINICIANDO CONSTANTEMENTE, FOI REALIZADO FORMATA?AO POR?M CONTINUA REINICIANDO.

SETOR: SEFAZ/UCS/CEPRE
",DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,3
8743232,67546,"EQUIPAMENTO DESLIGANDO AP?S ALGUNS MINUTOS, NECESS?RIA A SUBSTITUI?AO DA FONTE DE ENERGIA.",DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,4
8577675,67546,REALIZADO TESTES EM OUTRO.PONTO DE ENERGIA E COM OUTRO CABO E FOR?A MAS SEM ?XITO. ,DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,5
8423707,67546,EQUIPAMENTO NAO LIGA.,DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,6
8350057,67546,"AP?S A TROCA DA FONTE M?QUINA FUNCIONOU POR UM PERIODO, AGORA EM ALGUNS MOMENTOS FICA REINCIANDO E DESLIGANDO SOZINHA.	  
",DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,7
8310659,61080,"EQUIPAMENTO EST? DESLIGANDO SOZINHO COM BASTANTE FREQU?NCIA, ALGUMAS VEZES PEDE PARA RECUPERAR DANOS.

RESPONS?VEL : MICHELI CAVALINI  TEL: 28 999058291/ 27 3272-0456
EMEF ADALGIZA FERNANDES MARVILLA
- ENDERE?O: RUA PROJETADA S/ N
- BAIRRO: CONDADOS DE MEAIPE
- CEP:29.220-060 (USAR LOCALIZA?AO DO GOOGLE MAPS COM O NOME DA ESCOLA)
- CIDADE: GUARAPARI 
- UF: ES

PARA CHEGAR A ESCOLA USAR O GOOGLE MAPAS QUE NAO TEM ERRO, ? DE F?CIL ACESSO.	",DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,8
8272568,67546,"SERIAL: 4A756XK70

MOTIVO:  COMPUTADOR REINICIANDO, POSS?VEL FONTE ALIMENTA?AO.

LOCALIDADE: SEDE CAB

RESPONS?VEL: LILIAN MATOS

END.: 2? AVENIDA, N? 260, BAIRRO: CENTRO ADMINISTRATIVO DA BAHIA,CIDADE:SALVADOR,ESTADO:BA, CEP.: 41745-003

TELEFONE: (71) 3115-8737

 ",DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,9
8023795,67546,"MOTIVO: FOI REALIZADO TODOS OS PROCEDIMENTO E MESMO ASSIM O EQUIPAMENTO FICANDO DANDO ERRO DEPOIS QUE VOC? INSTALA O SO, TELA AZUL E REINICIALIZADO, FOI VERIFICADA A BIOS DO EQUIPAMENTO E MESMO ASSIM CONTINUA, POSS?VEL PROBLEMA NO HD DO EQUIPAMENTO.
LOCALIDADE: SEDE CAB

RESPONS?VEL: LILIAN MATOS

END.: 2? AVENIDA, N? 260, BAIRRO: CENTRO ADMINISTRATIVO DA BAHIA,CIDADE:SALVADOR,ESTADO:BA, CEP.: 41745-003

TELEFONE: (71) 3115-8737
",DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,10
7691863,67546,MAQUINA REINICIANDO INTERMITENTE,DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,11
7630869,60377,"NAO LIGA
NOME DA UNIDADE > REDUC
HOR?RIO DE EXPEDIENTE DO ?RGAO > 07:30 ?S 16H",DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,12
7514404,67546,"REINICIANDO.
LOCALIDADE: SEDE CAB
RESPONS?VEL: MAURICIO ANDRADE
END.: CENTRO ADM  260 - PR?DIO SEDE SEFAZ - CEP: 41.745-003
TELEFONE: 71 3115-8737




",DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,13
7490645,67546,"M?QUINA EM LOOP, SOLICITAR VERIFICA?AO DA POSITIVO, PARA EXECUTAR OS TESTES DE HARDWARE.",DESKTOP,000000000011074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP,14
11486565,75877,"DEFEITO: NÃO LIGA


ENDEREÇO: AV. BABITA CAMARGOS 1295. CIDADE INDUSTRIAL. CONTAGEM/MG. CEP:    32210-180
TEL:   (31) 3359-3216>(31) 3359-3216
EMAIL: FABIANO.JULIO@SUPERNOSSO.COM.BR",DESKTOP,000000000011075451,FONTE TFX 250W DPS-250AB-72A DELTA AUT,1
10964271,75877,"PDV NAO ESTA LIGANDO. OBS. ESSE SERIAL E DE OUTRA MAQUINA POIS ESSE PDV NAO TEM A IDENTIFICA?AO 
DEFEITO RECLAMADO: CPU DO PDV 114 NAO LIGA
NOME DA EMPRESA: APOIO MINEIRO ANEL RODOVIARIO

ENDERE?O: ROD. ANEL RODOVI?RIO CELSO MELLO AZEVEDO
N?MERO: 17850
BAIRRO: NOVA CACHOEIRINHA
CIDADE: BELO HORIZONTE
UF: MG
CEP: 31250622

TEL: (31) 986580559
EMAIL: ERICK.SILVA@SUPERNOSSO.COM.BR

CNPJ: 10.319.375.0026-20",DESKTOP,000000000011075451,FONTE TFX 250W DPS-250AB-72A DELTA AUT,2
8535779,55861,"PROBLEMA: NAO LIGA
RESPONS?VEL: FERNANDO OU JOS?.
HOR?RIO PARA ATENDIMENTO: 08:00 AS 16:00
ALMO?O: 12:00 AS 13: 00
 ",DESKTOP,000000000011075451,FONTE TFX 250W DPS-250AB-72A DELTA AUT,3
8489701,55861,"S: NAO LIGA

RESPONS?VEL FERNANDO/ JOSE CONTATOS: 31 988048712
HOR?RIO DE ATENDIMENTO: DAS 7H30 AS 11H E 13H 15H 

RUA DA BAHIA 2277 PREDIO 2 GGA, 2 ANDAR, SALA 218
LOURDES BELO HORIZONTE",DESKTOP,000000000011075451,FONTE TFX 250W DPS-250AB-72A DELTA AUT,4
8318138,12303,MONITOR NAO LIGA ,null,000000000011083074,MON LED 23 LG IPS236V,1
10696236,67377,"SOLICITA?AO DE VENDA DE SERVI?O PARA 11115528 - PAINEL LED 18.5 MT185WHM-N10 AG BOE E 11112665 - PEDESTAL PRETO DH8BT11 CHINYIN UTILIZAR O BKP SE NAO TIVER SALDO, REALIZAR O PP.
CLIENTE CIENTE (11) 2573-9804 .",DESKTOP,000000000011092766,"PAINEL LCD,BOE,HM185WX1-400,10.9MM,AG",1
7854419,51564,APARELHO COM LISTRAS NA TELA,null,000000000011092766,"PAINEL LCD,BOE,HM185WX1-400,10.9MM,AG",2
7624431,52624,LISTRAS NA TELA,null,000000000011092766,"PAINEL LCD,BOE,HM185WX1-400,10.9MM,AG",3
7549064,52623,"DESLIGA SOZINHO  
",DESKTOP,000000000011092766,"PAINEL LCD,BOE,HM185WX1-400,10.9MM,AG",4
7415752,52623,NAO LIGA,DESKTOP,000000000011092766,"PAINEL LCD,BOE,HM185WX1-400,10.9MM,AG",5
7413467,52623,FUNCIONAL,null,000000000011092766,"PAINEL LCD,BOE,HM185WX1-400,10.9MM,AG",6
10140444,48916,"AQUECENDO, DESLIGA SOZINHO, TELA FICA ESCURA, TRAVANDO, LENTO",DESKTOP,000000000011092968,ADAPT AC/DC DA-65A19-AAAA 65W 2P APD,1
8511222,54376,"COMPUTADOR NAO LIGA
OBS: PESSOAS DE CONTATO: BRUNO, MARIANA E RENATO ( 7:30 AS 16:00), DADOS DE ENDERE?O E TELEFONES PARA CONTATO ESTAO NA ASSINATURA DO EMAIL.
SETOR DE GESTAO DE PROCESSOS DA TECNOLOGIA DA INFORMA?AO - SGPTI

SUPERINTEND?NCIA DO HOSPITAL UNIVERSIT?RIO ONOFRE LOPES

EMPRESA BRASILEIRA DE SERVI?OS HOSPITALARES

TEL: (84) 3342-5083 | (84) 3342-5226 | (84) 3342-5039

AV. NILO PE?ANHA, 620 PR?DIO ADMINISTRATIVO - T?RREO

CEP: 59.012-300 - NATAL | RN

SITE: HTTP://WWW.EBSERH.GOV.BR",DESKTOP,000000000011093833,PAINEL FRONTAL NOVA SERIGRAFIA GAB EN042,1
7554315,49484,TELA COM LISTRAS,null,000000000011098932,ANTENA WLAN COMBO P/ NTB W940 CLEVO,1
8418838,52010,CARCA?A ESTA BEM DANIFICADA COM A DOBRADI?A AGARRANDO . CLIENTE DESEJA APENAS O OR?AMENTO PARA TROCA DA CARCA?A J? QUE O COMPUTADOR SEGUE FUNCIONANDO NORMAL,NOTEBOOK,000000000011098933,ALTO FAL 1W 8OHM DIR P/ NTB W940,1
9796101,48568,"S: BAIXA AUTONOMIA DE CARGA , CLIENTE CIENTE DE PROCEDIMENTO DE RECALL VIZUALIZADO NO SITE 

A: APARELHO SEM DANOS FISICOS 

  HTTP://INTRANETCRP.POSITIVO.CORP/?P=61655

S: ENCAMINHADO PARA ATENDIMENTO RECALL. INFORMADO QUE ATENDIMENTO SER? REALIZADO DE ACORDO COM CERTIFICADO DE GARANTIA. INFORMADO SOBRE BACKUP E SOBRE PRAZOS DE ATENDIMENTO.

CIENTE QUE OCORRERA APENAS A SUBSTITUI?AO BATERIA ",null,000000000011099468,BATER 3C LI-ION 2200MAH CLEVO MONT,1
9612961,49817,"S: NAO FUNCIONA FORA DO CARREGADOR 

A: VERIFICADO INTRANET :    RECALL:
CRP - ABRIR CHAMADO PARA TROCA DE BATERIA CONFORME PROCEDIMENTO HTTP://INTRANETCRP.POSITIVO.CORP/?P=61655 .

ATP - ESTE ATENDIMENTO DEVE SEGUIR O PROCEDIMENTO CONFORME BIT BATERIA W940 - LINHA POSITIVO PREMIUM/STILO.

S:  ENCAMINHADO PARA ATP , ORIENTADO SOBRE BACKUP ",null,000000000011099468,BATER 3C LI-ION 2200MAH CLEVO MONT,2
9419079,49480,"APARELHO DE RECALL 

SINTOMA
- RECALL PARA A BATERIA 
 - TECLADO COM FALHA, ALGUMAS TECLAS NAO FUNCIONA. 

A?AO 
- CIENTE DE PROCEDIMENTO DE RECALL. 
- CIENTE QUE CASO O TECLADO TENHA CONCERTO, SER? NOTIFICADO VIA E-MAIL 
- CIENTE DE PRAZO DE ATENDIMENTO. 

SOLU?AO 
- ABRIR CHAMADO

ID: 111593244  
",null,000000000011099468,BATER 3C LI-ION 2200MAH CLEVO MONT,3
9295639,45910,"SINTOMA: BATERIA COM FALHA

A?AO: CONFORME ASSIST E INTRANET.
HTTP://INTRANETCRP.POSITIVO.CORP/?P=61655

 NS DENTRO DA CAMPANHA DE RECALL, CLIENTE NEGA MAU USO, POR?M INFORMA QUE A DOBRADI?A TEM UM LEVE TRINCOU POR SER R?GIDA.

SOLU?AO: ENCAMINHADO PARA ATP, CLIENTE CIENTE SOBRE BACKUP, PRAZOS E TR?MITES.",null,000000000011099468,BATER 3C LI-ION 2200MAH CLEVO MONT,4
