codigo_solicitado,cod_solic_desc
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11138779,PLMCEL S532 SC7731E DDR3 JABIL MONT
11153472,LCD 12 GLARE SL116PP40Y1008 V116N S LOGO
11152993,TAMPA COVER C DARK GRAY C/TECLA N14EP6
11144619,TAMPA COVER C TP CINZA S/TECLA N14DP6
11113767,PLM S455 RAGTK LPDDR3 CKD MT6582V
11146740,CONJUNTO FRONTAL S532 JT 2
11150195,CONJUNTO FRONTAL S532 HF
11128693,SSD 256GB SATA CV6-CQ256 LITEO
11146038,PLM J14KR11 ELAN 4GB I3-7020U HDD BORE C
11127066,"HDD 1TB 2,5` SATA WESTE WD10SPZX"
11131116,PLM N240BU I5-7200U DDR4 BOREO CKDFP
11115151,"HDD 500GB 2,5` SATAIII WESTE WD5000LPCX"
11153881,TAMPA COVER C TP CINZA S/TECLA N14AP6
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11150195,CONJUNTO FRONTAL S532 HF
11144854,LCD 14 NT140WHM-N44 DARK GRAY V142R
11133996,PLM POS-RIB360EE PLUS DDR4 ECOFP
11145468,"LCD 14,1 HD AG DARK GRAY N14ZP6"
11138872,CONJUNTO FRONTAL S532 JT
11134393,"HDD 1TB 2,5` SATA TOSHB MQ04ABF100/HDWL1"
11122242,"HDD 1TB 3,5` SATA SEAGT ST1000DM010"
11153887,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11155255,PLM N14AP6 4G HDD N3350 LPDDR4 JABIL JAB
11127638,PLM POS-PIB150DT R3 DVI DDR4 ECOFP
11154520,PLM N14EP6 4G N 64GB N Z8350 DDR3 JABIL
11137618,LCD 14 GL CE SL140DC30D1465-A00  V142N
11120235,ADAPT AC/DC 6374 5W 2P I_PWR
11149340,PLM N14ZP6 4G 64GB Z8350 LPDDR3 JABIL JA
11145469,TAMPA COVER C DARK GRAK C/TECLA N14ZP6
11138872,CONJUNTO FRONTAL S532 JT
11145469,TAMPA COVER C DARK GRAK C/TECLA N14ZP6
11137618,LCD 14 GL CE SL140DC30D1465-A00  V142N
11160353,PLM V142R-2 4GB Z8330 DDR3 JABIL JABIL
11133996,PLM POS-RIB360EE PLUS DDR4 ECOFP
11128693,SSD 256GB SATA CV6-CQ256 LITEO
11128693,SSD 256GB SATA CV6-CQ256 LITEO
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11137441,PL POWER SWITCH BOARD V2.0 NF50WU-V CKD
11153135,PLM N14EP6 4G N 64GB Z8350 DDR3 JABIL JA
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11145249,TAMPA C C/TP SPK RED V142R
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11150538,"LCD 14,1 TELA HD ANTI-GLARE CINZA N14DP6"
11155165,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11144608,LCD 15.6 W/O LOGO TELA FHD MIC WLAN ANT
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11160907,PLM N14EP6 4GB 64GB Z8330 DDR3 JABIL JAB
11133929,PLM POS-RIB360EE BASIC DDR4 BOREO ECOFP
11159671,TAMPA C NON BL K/B BMORN N14AP6
11146660,LCD 14 SL140PB42D1636-A00 DARKGRAY V142R
11133340,TAMPA C CE C/TP SIPO TCL ENG SPK V142N
11105494,"HDD 500GB 2,5` SATAIII TOSHB MQ01ABF050"
