codigo_solicitado,cod_solic_desc
19616,ADAPT AC/DC HP-OK065B13 65W 3P HIPRO
25602,MOU USB 3BT+SCR MS55U PR / PRA MTREY
1506512,POS MASTER C6300 MINIPRO INSS 3
11073142,ESTAB 500VA/500W EXS II 500B PR ENERMAX
11074729,FONTE ATX 300W FSP300-60EGA(P76001) FSP
11075451,FONTE TFX 250W DPS-250AB-72A DELTA AUT
11083074,MON LED 23 LG IPS236V
11085147,"HDD 320GB 2,5 SATA TOSHB MQ01ABD032"
11092766,"PAINEL LCD,BOE,HM185WX1-400,10.9MM,AG"
11092968,ADAPT AC/DC DA-65A19-AAAA 65W 2P APD
11093833,PAINEL FRONTAL NOVA SERIGRAFIA GAB EN042
11094945,"ADAPT AC/DC S13A00 ES 5,5M 65W 2P SALCO"
11097357,PAINEL LCD 15.6 B156XW04V6 AG AUO
11097819,"HDD 500GB 2,5` SATA WESTE WD5000BPKX"
11097867,"HDD 1TB 3,5` SATAIII CALCO ST1000DM003"
11098932,ANTENA WLAN COMBO P/ NTB W940 CLEVO
11098933,ALTO FAL 1W 8OHM DIR P/ NTB W940
11099466,MEM 4GB DDR3L PC12800 SODIMM SMART MONT
11099468,BATER 3C LI-ION 2200MAH CLEVO MONT
11099716,TAMPA D P/ NTB SHUTTLE H14ID8
11105493,"HDD 320GB 2,5 SATAIII WESTE WD3200LPVX"
11107131,ADAPT AC/DC UF-40W2P(19.0)9B2 40W 2P UNI
11107240,CORPO PARTE DIREITA GAB POS-NEXT
11107248,LCD COMPLETO 14.0 POSITIVO CLEVO W942SV
11107437,"HDD 500GB 2,5` SATAIII WESTE WD5000LPVX"
11107616,PLR WI-FI WLESS AW-NE139HS TECNW MONT
11107822,PLM EC10IS2/EC10IS1 N2600 DDR3 MGB CKD
11109481,ODD DVDRW SATA PR DSK GH24NSC0 LG
11109720,MON LED 21.5` LG 22MP55PQ POS
11111139,MEM 4GB DDR3L PC12800 SODIMM TEKON MONT
11111151,MEM 4GB DDR3 PC12800 DIMM TEKON MONT
11111532,MON LED 19.5` LG 20M35PD POS
11111558,MON LED 23` LG 23MB35PH POS
11112034,ADAPT AC/DC HKA03619021-IG 40W 3P HUNTK
11112121,LCD 10.1 TOUCH NTB EC10IS1 CCD 2MP
11112713,CABO ADAPT DP (M) VGA (F) 15CM PR
11112853,PLACA USB DH8BT11 C/SUPORTE
11113017,MON LED 15.6 POS SMILE 5623 POS
11113202,CABO HDMI MXM VER 1.4 1.80MT SECCON V.2
11113274,TAMPA TRASEIRA S/ VESA CINZA DH8BT11
11113706,TAMPA DE BATERIA S455 PRETO
11113717,FONE DE OUVIDO COM MIC HS-001CBA
11113738,MEM 4GB DDR3L PC12800 SODIMM ADATA MONT
11114945,PLM POS-PIQ170DO TPM 1.0 DDR3L PEGTR ECO
11115153,ADAPT AC/DC FSP090-DIEBN2 90W 3P FSP
11115243,MEM 2GB DDR3L PC12800 SODIMM TEKON MONT
11116276,PLM AIO ARM SDRAM NAC RK3188 DDR3L SOTAC
11116831,VENT FAN GAB POS-UFPG01 MINIPRO
11117115,LCD 10.1 TOUCH NTB EC10IS1 RET STD
11117424,SUB PLACA X500 KOZEN MONT
11117480,"HDD 1TB 3,5` SATAIII DIGIT WD10EZEX"
11117609,BOTAO LIGA-DESLIGA S455 DOURADO QL
11118049,"HDD 1TB 3,5` SATAIII SEAGT ST1000DM003"
11118578,PLM S14CT DRAM NAC Z8300 DDR3L SHUTL CKD
11118650,PLR WI-FI/BT WLESS 3165NGW FLEX MONT
11119071,VENTILADOR NTB SHUTTLE S14BW 6W
11119351,MEM 4GB DDR3L PC12800 SODIMM SMART MONT
11119660,FONE DE OUVIDO C/MIC HF-B0579-A39 KOZEN
11119756,ADAPT AC/DC CR-1010BA 5W 2P KOZEN
11119757,BATER 1C LI-PO 2800MAH KOZEN MONT
11119821,MEM 4GB DDR4 PC17000 SODIMM TEKON MONT
11120166,PLM N250JU I7-7500U DDR3L CLEVO CKD
11120626,BATER 4C LI-ION 2200MAH CLEVO MONT
11120635,VENTILADOR N250JU-V CLEVO
11120640,TAMPA D?NTB N250JU-V
11121141,COVER C S14CT + TECLADO
11121437,MEM 4GB DDR4 PC17000 SODIMM SMART MONT
11121674,CONJ PLM S520 (TWIST M)+VIB+AF+BOTAO SRV
11121675,",,NJ PLM S520 (TWIST 4G)+VIB+AF+BOTAO SV"
11121930,ADAPT AC/DC CR-2000BA 10W 2P RAGTK
11121998,"HDD 500GB 2,5` SATAIII SEAGT ST500LM030"
11122028,PLM POS-PIQ170DS TL DDR4 PEGTR ECO
11122278,PLM S14BW01 S/EMMC N3710 DDR3L JABIL MON
11122281,PLM S14BW01 EMMC I N3710 DDR3L JABIL MON
11122527,"ADAPT AC/DC WA-15I05FB-GNAB 1,5M 15W 2P"
11123351,MON LED 19.5 LG 20M35PD
11123358,SSD 256GB SATAIII SU800BR1 ADATA
11123363,PLM DH8BW S/ EMMC N3060 DDR3L JABIL MONT
11123380,"CABO ALIM 3P,1,5M,SP-027A,PR I-SHENG"
11123797,TAMPA BATERIA MUV DOURADA NOVA
11124140,TRAVA TOOLESS M.2 ENG INTEL/AMD MINIPRO
11124190,BATER 1C LI-ION 2500MAH RAGTK SKD
11124303,CONJUNTO FRONTAL Q13 CHUMBO IML
11124355,LCD 14 TELA FHD CAM FHD WLAN ANT M14KL01
11124370,TCL PADRAO S/TRACKPNT C/BACKLIT M14KL01
11124462,PLM QUANTUM Q11 JABIL LPDDR3 MONT MT6737
11124467,MEM 8GB DDR4 PC19200 SODIMM ADATA MONT
11124493,MEM 8GB DDR3L PC12800 SODIMM ADATA MONT
11124576,PLM S14CT EMMC NAC Z8350 DDR3L JABIL MON
11124578,PLM S14CT Z8350 DDR3L JABIL MONT
11124627,CONJUNTO FRONTAL PRETO S430B
11124684,PLM M14KL01 GS I3-7100U DDR4 BOREO ECOFP
11124685,PLM M14KL01 GS/DK I5-7200U DDR4 BOREO EC
11124766,PLM EC10IS2/EC10IS1 N2600 DDR3 BOREO CKD
11124972,SSD 128GB SATAIII SU800FA2 ADATA
11124973,SSD 256GB SATAIII SU800FA2 ADATA
11124974,PLM POS-EAA75DE W8 2.0A DDR3 BOREO CKDFP
11125113,PROC CORE I5 7400 SR32W TRAY DSK INTEL
11125214,FONTE TFX 200W PI-T200P-S(01) POSIT AUT
11126577,PLM POS-PIB150DR DDR4 ECOFP
11126618,PLM N250JU V2 I5-7200U DDR3L BOREO CKDFP
11126666,PLM CHT14B Z8350 LPDDR3 BLBNK MONT
11127066,"HDD 1TB 2,5` SATA WESTE WD10SPZX"
11127296,PLM H110T DDR4 HBTEK MONT
11127389,BATER 1C LI-PO 4000MAH KOZEN RETR
11127624,PLM CHT14B 8M WIFI N Z8350 JABIL MONT
11127625,PLM CHT14B EMMC/WIFI N Z8350 LPDDR3 JABI
11127667,CONJUNTO TRASEIRO LIO 2 SERVI?OS
11127719,MEM 4GB DDR3L PC12800 SODIMM MLSER MONT
11127727,FONTE ATX 300W PI-A300B-F(01) POSIT AUT
11127729,FONTE TFX 300W IP-P300HF7-2 INWIN AUT
11127746,SSD 256GB SATA PX-256M7VC PXTOR
11128232,BATER 2C LI-PO 4200MAH SHUTL MONT
11128322,PLM POS-AIQ270DX DDR4 CKDFP
11128543,PLM S14SL03 S/EMMC I3-6006U DDR3L BOREO
11128552,BATER 1C LI-PO 2000MAH TEM MONT
11128581,CONJUNTO TRASEIRO LIO2 V2 SERVI?OS
11128624,CABO DADOS USB S511  PRETO
11128625,FONE DE OUVIDO C/ MIC S511 HS-009CPA
